;Papel;Cotação;P/L;P/VP;PSR;Div.Yield;P/Ativo;P/Cap.Giro;P/EBIT;P/Ativ Circ.Liq;EV/EBIT;EV/EBITDA;Mrg Ebit;Mrg. Líq.;Liq. Corr.;ROIC;ROE;Liq.2meses;Patrim. Líq;Dív.Brut/ Patrim.;Cresc. Rec.5a;21
570;TIET4;3,51;6,13;3,15;3,029;0,00%;0,642;1.443,57;5,06;-1,05;8,81;6,65;59,93%;49,91%;1,00;13,97%;51,45%;0,00;2.222.740.000,00;2,67;7,76%;
571;TAEE4;13,15;6,13;1,88;4,046;9,74%;0,781;7,18;5,08;-1,99;7,41;7,34;79,62%;66,02%;2,32;16,87%;30,61%;2.291.920,00;7.244.800.000,00;1,06;36,70%;
572;KLBN4;3,97;6,14;2,59;1,279;5,16%;0,555;3,23;3,58;-1,18;6,45;4,50;35,75%;22,13%;2,53;19,69%;42,17%;2.088.670,00;8.615.570.000,00;2,79;17,46%;
573;KLBN11;19,90;6,15;2,60;1,282;5,14%;0,556;3,24;3,59;-1,18;6,46;4,51;35,75%;22,13%;2,53;19,69%;42,17%;122.179.000,00;8.615.570.000,00;2,79;17,46%;
574;EVEN3;4,73;6,17;0,54;0,489;1,55%;0,166;0,48;3,85;1,02;1,93;1,87;12,70%;11,41%;1,90;5,15%;8,84%;7.127.850,00;1.840.500.000,00;0,21;6,91%;
575;BEES4;5,29;6,17;0,85;0,000;10,04%;0,000;0,00;0,00;0,00;0,00;0,00;0,00%;0,00%;0,00;0,00%;13,84%;48.818,60;1.957.960.000,00;0,00;5,48%;
576;LIGT3;5,55;6,20;0,24;0,140;4,57%;0,074;1,00;1,59;-0,19;7,32;4,74;8,84%;2,26%;1,33;5,76%;3,87%;28.305.600,00;8.628.600.000,00;1,25;6,04%;
577;EKTR3;30,00;6,24;1,67;0,664;14,01%;0,527;3,77;3,43;-1,95;5,77;4,89;19,40%;10,64%;1,51;18,27%;26,71%;135,02;3.485.000.000,00;1,44;9,12%;
578;BGIP3;29,46;6,27;0,79;0,000;4,44%;0,000;0,00;0,00;0,00;0,00;0,00;0,00%;0,00%;0,00;0,00%;12,52%;204,54;573.281.000,00;0,00;1,89%;
579;DOHL4;5,69;6,31;0,60;0,634;3,98%;0,447;1,03;6,76;1,63;7,01;5,67;9,37%;10,03%;5,37;7,27%;9,58%;33.233,30;711.872.000,00;0,12;9,47%;
580;ALUP3;8,79;6,32;1,09;1,573;4,66%;0,291;3,91;2,09;-0,68;4,25;4,08;75,28%;44,79%;1,78;15,35%;17,26%;93.655,60;7.084.130.000,00;1,41;38,18%;
