;Papel;Cotação;P/L;P/VP;PSR;Div.Yield;P/Ativo;P/Cap.Giro;P/EBIT;P/Ativ Circ.Liq;EV/EBIT;EV/EBITDA;Mrg Ebit;Mrg. Líq.;Liq. Corr.;ROIC;ROE;Liq.2meses;Patrim. Líq;Dív.Brut/ Patrim.;Cresc. Rec.5a;21
667;PCAR5;67,12;8,66;1,27;0,370;0,00%;0,404;13,27;5,32;-1,30;6,70;4,20;6,96%;4,62%;1,11;9,82%;14,62%;0,00;14.283.000.000,00;0,58;0,05%;
668;TMGC12;550,00;8,71;1,12;0,800;0,00%;0,770;4,66;12,27;8,22;10,94;10,94;6,52%;9,18%;1,69;8,73%;12,83%;0,00;1.167.010.000,00;0,05;10,49%;
669;MELK3;3,80;8,73;0,67;0,971;10,55%;0,396;0,73;8,53;0,82;4,75;4,52;11,38%;13,01%;2,67;5,91%;7,69%;591.895,00;1.177.180.000,00;0,02;32,91%;
670;FRAS4;5,79;8,73;1,47;0,591;0,00%;0,525;1,89;4,90;-4,57;6,93;5,12;12,05%;6,73%;2,13;13,46%;16,81%;0,00;1.065.070.000,00;0,90;30,13%;
671;ACES4;94,73;8,74;2,27;1,683;0,00%;1,430;6,37;7,16;20,65;6,50;6,50;23,52%;19,27%;2,05;26,90%;25,95%;0,00;3.105.800.000,00;0,09;13,34%;
672;ACES3;95,27;8,79;2,28;1,693;0,00%;1,438;6,40;7,20;20,77;6,54;6,54;23,52%;19,27%;2,05;26,90%;25,95%;0,00;3.105.800.000,00;0,09;13,34%;
673;SBFG3;20,10;8,85;2,31;0,866;0,59%;0,693;3,22;8,49;-3,21;11,78;7,47;10,20%;9,77%;1,80;9,76%;26,09%;26.819.900,00;2.114.670.000,00;1,07;49,52%;
674;CSMG3;11,34;8,88;0,63;0,725;5,81%;0,350;8,29;4,56;-1,31;7,64;4,23;15,91%;8,16%;1,32;8,41%;7,04%;15.471.600,00;6.893.610.000,00;0,54;7,47%;
675;CZRS4;2,49;8,89;0,30;0,000;0,00%;0,000;0,00;0,00;0,00;0,00;0,00;0,00%;0,00%;0,00;0,00%;3,34%;0,00;1.145.670.000,00;0,00;14,44%;
676;AFLU5;5,03;8,93;2,14;2,911;0,00%;1,875;9,63;8,32;11,92;7,38;7,05;34,98%;32,59%;3,27;31,18%;23,93%;0,00;44.270.000,00;0,00;8,61%;
677;COCE3;58,92;8,95;1,28;0,533;4,93%;0,391;-7,93;3,52;-1,00;6,46;5,13;15,13%;5,96%;0,86;12,59%;14,31%;0,00;3.583.410.000,00;1,13;14,61%;
678;VIVO3;65,79;8,99;2,69;1,366;0,00%;1,175;-29,21;6,21;-4,74;6,65;6,65;22,01%;15,20%;0,89;23,92%;29,88%;0,00;9.816.290.000,00;0,35;13,06%;
679;CARD3;13,58;8,99;1,60;1,087;6,01%;0,977;19,45;6,31;-10,00;6,58;3,93;17,23%;12,10%;1,21;19,31%;17,83%;1.935.890,00;354.167.000,00;0,30;3,00%;
680;LPSB3;2,60;9,00;2,04;1,773;2,91%;0,917;7,11;10,00;-4,10;7,61;5,45;17,72%;26,02%;1,63;12,01%;22,67%;1.074.740,00;188.118.000,00;0,00;21,09%;
681;CNFB4;5,99;9,01;1,57;1,511;0,00%;0,872;3,47;8,27;53,95;10,05;7,85;18,27%;16,77%;2,20;12,01%;17,39%;0,00;1.552.470.000,00;0,47;-10,61%;
682;VVEO3;14,46;9,03;1,88;0,624;0,00%;0,607;1,70;8,62;-29,11;9,30;7,48;7,24%;6,91%;2,20;12,03%;20,87%;2.827.450,00;2.194.880.000,00;0,95;0,00%;
683;ENGI3;12,50;9,06;2,54;0,815;4,56%;0,425;11,16;4,04;-0,77;7,39;6,03;20,17%;9,97%;1,17;12,05%;28,09%;94.470,20;8.915.060.000,00;2,65;16,88%;
684;OFSA3;20,28;9,08;1,68;1,166;2,65%;0,909;2,29;7,49;7,26;9,19;7,68;15,57%;12,84%;3,13;14,85%;18,44%;299.581,00;653.126.000,00;0,61;15,77%;
685;AFLU3;5,15;9,15;2,19;2,981;0,00%;1,919;9,86;8,52;12,21;7,57;7,24;34,98%;32,59%;3,27;31,18%;23,93%;0,00;44.270.000,00;0,00;8,61%;
686;WLMM3;25,00;9,19;1,63;0,559;3,54%;1,316;3,36;8,51;4,33;7,14;6,89;6,56%;6,08%;4,69;20,54%;17,80%;756,98;556.826.000,00;0,02;30,47%;
687;TTEN3;8,16;9,29;1,76;0,693;0,00%;0,807;2,19;12,64;3,61;12,55;11,47;5,48%;7,46%;1,93;13,16%;18,93%;6.414.900,00;2.303.450.000,00;0,56;0,00%;
688;PCAR4;72,11;9,31;1,36;0,397;0,00%;0,434;14,26;5,71;-1,40;7,10;4,45;6,96%;4,62%;1,11;9,82%;14,62%;0,00;14.283.000.000,00;0,58;0,05%;
689;BRBI11;13,14;9,34;1,82;2,105;0,00%;0,332;1,75;10,99;1,91;4,43;4,37;19,15%;22,54%;1,24;232,01%;19,47%;1.782.000,00;758.689.000,00;4,31;0,00%;
690;PORT3;7,58;9,42;1,50;1,250;5,87%;0,628;22,96;4,87;-1,50;7,95;5,36;25,67%;13,77%;1,20;14,07%;15,92%;6.327.620,00;2.225.030.000,00;1,10;0,00%;
691;MRSL4;3,05;9,48;0,91;0,816;0,00%;0,609;2,19;15,08;5,80;16,51;8,83;5,41%;8,69%;2,78;4,44%;9,63%;0,00;375.151.000,00;0,16;7,10%;
692;BSLI4;15,00;9,70;2,27;0,000;9,15%;0,000;0,00;0,00;0,00;0,00;0,00;0,00%;0,00%;0,00;0,00%;23,35%;3.819,28;2.403.030.000,00;0,00;-1,44%;
693;CTWR3;100,00;9,76;56,77;0,317;0,00%;1,141;3,79;-10,64;-142,17;-8,91;-8,91;-2,98%;3,25%;1,45;-21,86%;581,91%;0,00;879.000,00;5,52;4,94%;
694;VIVO4;71,80;9,81;2,93;1,491;0,00%;1,282;-31,87;6,78;-5,17;7,22;7,22;22,01%;15,20%;0,89;23,92%;29,88%;0,00;9.816.290.000,00;0,35;13,06%;
695;TCSL4;7,82;9,95;0,83;1,105;0,00%;0,475;8,93;5,69;-2,20;5,61;2,18;19,44%;11,11%;1,34;9,67%;8,33%;0,00;22.847.800.000,00;0,14;2,29%;
696;GMAT3;3,63;10,02;1,22;0,469;0,00%;0,767;1,76;8,03;3,03;9,51;7,43;5,84%;4,75%;3,44;11,64%;12,12%;22.065.000,00;6.599.900.000,00;0,32;28,01%;
697;LEVE4;44,49;10,13;3,22;1,555;0,00%;1,885;7,08;9,10;13,23;8,91;7,71;17,09%;15,33%;1,91;26,71%;31,78%;0,00;1.773.710.000,00;0,13;9,68%;
698;GRND3;6,75;10,19;1,48;2,606;6,52%;1,323;2,49;17,82;2,56;14,44;11,49;14,62%;25,56%;7,00;10,62%;14,48%;14.591.100,00;4.124.610.000,00;0,04;-0,34%;
699;CXSE3;6,89;10,22;1,86;0,000;7,84%;1,840;14,90;-264,60;14,91;-252,17;-252,30;0,00%;0,00%;13,42;-0,76%;18,18%;16.492.900,00;11.120.100.000,00;0,00;0,00%;
700;MRSL3;3,30;10,25;0,99;0,883;0,00%;0,658;2,37;16,32;6,28;17,74;9,50;5,41%;8,69%;2,78;4,44%;9,63%;0,00;375.151.000,00;0,16;7,10%;
701;TRFO3;4,53;10,32;2,58;0,804;0,00%;1,039;4,65;5,52;7,37;5,12;5,12;14,58%;7,80%;1,43;27,63%;25,01%;0,00;76.165.000,00;0,26;16,47%;
702;SOJA3;10,90;10,33;1,98;1,155;0,37%;1,284;3,08;10,16;3,60;10,01;9,86;11,37%;11,19%;2,44;16,37%;19,15%;3.474.000,00;645.837.000,00;0,20;84,01%;
703;TUPY3;21,15;10,34;1,14;0,386;2,04%;0,438;1,28;4,50;262,25;6,56;4,23;8,58%;3,69%;2,24;13,79%;11,06%;19.207.500,00;2.666.340.000,00;0,88;14,31%;
704;BESP3;330,00;10,38;2,47;0,000;0,00%;0,000;0,00;0,00;0,00;0,00;0,00;0,00%;0,00%;0,00;0,00%;23,77%;0,00;5.183.100.000,00;0,00;1,83%;
705;SBSP3;42,30;10,38;1,12;1,469;2,23%;0,534;16,19;6,99;-1,36;10,43;6,70;21,02%;14,15%;1,34;8,20%;10,75%;156.546.000,00;25.907.400.000,00;0,68;7,28%;
706;AESL3;10.081,90;10,43;2,83;1,038;0,00%;0,742;13,89;5,28;-1,42;7,85;6,96;19,67%;9,96%;1,33;15,21%;27,17%;0,00;4.004.450.000,00;1,48;31,56%;
707;AESL4;10.081,90;10,43;2,83;1,038;0,00%;0,742;13,89;5,28;-1,42;7,85;6,96;19,67%;9,96%;1,33;15,21%;27,17%;0,00;4.004.450.000,00;1,48;31,56%;
708;TCOC4;27,20;10,43;1,26;1,558;0,00%;0,915;2,65;10,14;3,07;7,89;7,89;15,37%;14,93%;2,53;13,98%;12,06%;0,00;2.812.920.000,00;0,04;16,71%;
709;MODL4;2,52;10,59;1,39;0,000;4,12%;0,000;0,00;0,00;0,00;0,00;0,00;0,00%;0,00%;0,00;0,00%;13,11%;52.671,00;1.277.980.000,00;0,00;0,00%;
710;TIMS3;13,52;10,61;1,29;1,774;3,55%;0,668;6,73;9,68;-3,24;8,28;3,10;18,32%;16,73%;1,56;8,91%;12,18%;85.425.300,00;25.338.000.000,00;0,13;2,96%;
711;BALM3;14,25;10,66;1,13;1,036;1,76%;0,622;1,49;18,16;2,45;15,51;10,71;5,71%;6,78%;2,56;4,43%;10,56%;268,05;124.110.000,00;0,16;7,13%;
712;BTTL3;20,19;10,68;7,92;0,546;0,00%;1,535;19,75;9,55;-5,67;9,95;7,79;5,71%;5,11%;1,17;22,56%;74,12%;395.854,00;37.891.000,00;1,12;39,72%;
713;TRFO4;4,70;10,70;2,68;0,835;0,00%;1,078;4,82;5,73;7,65;5,33;5,33;14,58%;7,80%;1,43;27,63%;25,01%;0,00;76.165.000,00;0,26;16,47%;
714;SMLS3;22,40;10,78;4,09;4,212;0,00%;1,017;18,78;10,37;-6,72;10,13;9,06;40,62%;39,07%;1,10;10,69%;37,96%;0,00;679.678.000,00;0,00;-22,20%;
715;BESP4;344,00;10,82;2,57;0,000;0,00%;0,000;0,00;0,00;0,00;0,00;0,00;0,00%;0,00%;0,00;0,00%;23,77%;0,00;5.183.100.000,00;0,00;1,83%;
716;MODL11;7,74;10,84;1,42;0,000;4,02%;0,000;0,00;0,00;0,00;0,00;0,00;0,00%;0,00%;0,00;0,00%;13,11%;4.449.450,00;1.277.980.000,00;0,00;0,00%;
717;QUAL3;12,47;10,88;2,64;1,706;2,55%;0,805;-2,71;4,67;-1,92;6,45;4,32;36,52%;16,21%;0,48;22,20%;24,23%;39.234.300,00;1.343.080.000,00;1,51;0,92%;
718;EMAE4;38,00;10,91;1,84;2,594;3,75%;0,831;3,38;34,21;-3,73;26,29;23,04;7,58%;23,78%;4,08;3,03%;16,86%;261.555,00;763.516.000,00;0,00;23,08%;
719;MODL3;2,61;10,97;1,44;0,000;3,97%;0,000;0,00;0,00;0,00;0,00;0,00;0,00%;0,00%;0,00;0,00%;13,11%;20.068,30;1.277.980.000,00;0,00;0,00%;
720;PRNR3;5,76;10,99;0,96;0,463;1,63%;0,546;2,61;7,31;6,04;7,64;4,45;6,33%;4,29%;1,68;9,40%;8,70%;850.824,00;234.498.000,00;0,33;9,95%;
721;MOAR3;449,00;11,04;5,94;9.047,200;10,27%;2,557;9,36;-157,60;-14,24;-160,92;-164,87;-5.740,62%;81.979,60%;3,34;-2,61%;53,79%;422.010,00;926.690.000,00;1,00;7,04%;
722;DIRR3;11,78;11,06;1,33;0,965;0,00%;0,304;0,73;5,25;-1,37;6,04;5,22;18,37%;11,95%;4,88;7,21%;12,03%;17.779.800,00;1.328.210.000,00;1,00;22,18%;
723;GRNL4;470,00;11,09;1,07;7,231;0,00%;0,975;8,04;-64,72;15,01;-63,22;-63,22;-11,17%;65,19%;4,35;-1,65%;9,69%;0,00;93.104.000,00;0,05;21,48%;
724;BPAN4;6,63;11,11;1,13;0,000;3,43%;0,000;0,00;0,00;0,00;0,00;0,00;0,00%;0,00%;0,00;0,00%;10,16%;36.434.800,00;7.671.690.000,00;0,00;15,27%;
725;ELUM3;36,00;11,12;1,50;0,940;0,00%;0,886;2,31;14,76;2,51;10,02;10,02;6,37%;8,46%;2,02;9,40%;13,47%;0,00;443.231.000,00;0,08;8,40%;
726;RIPI3;48,01;11,23;-28,94;-7,449;0,00%;7,092;-59,55;-8,79;-16,76;-9,31;-9,31;84,70%;-66,31%;0,87;-99,10%;-257,61%;0,00;-49.103.000,00;-2,44;5,82%;
727;CZLT33;29,23;11,24;1,39;0,526;0,00%;0,145;1,87;3,10;-0,29;10,26;4,03;16,97%;9,14%;1,58;5,31%;12,36%;0,00;5.691.680.000,00;3,93;7,88%;
728;UGPA3;11,87;11,31;1,26;0,113;6,60%;0,351;1,38;8,56;-3,68;17,57;11,45;1,32%;1,03%;1,71;5,31%;11,10%;93.577.100,00;10.542.200.000,00;1,63;6,57%;
729;RIPI4;48,50;11,35;-29,24;-7,525;0,00%;7,164;-60,16;-8,88;-16,93;-9,40;-9,40;84,70%;-66,31%;0,87;-99,10%;-257,61%;0,00;-49.103.000,00;-2,44;5,82%;
730;BMKS3;239,95;11,43;0,55;6,306;7,45%;0,487;0,67;-42,03;0,76;15,44;36,24;-15,00%;55,15%;26,84;-3,63%;4,82%;20.017,80;197.873.000,00;0,01;8,82%;
731;EBCO4;1,00;11,46;0,80;0,330;0,00%;0,351;50,21;8,51;-14,31;8,26;8,26;3,88%;2,90%;1,01;5,04%;7,00%;0,00;828.097.000,00;0,02;6,09%;
732;MTRE3;4,75;11,50;0,51;0,801;6,00%;0,312;0,55;8,51;0,75;7,34;6,69;9,40%;7,53%;3,37;4,28%;4,43%;1.764.520,00;985.883.000,00;0,14;41,58%;
733;BPAC11;22,69;11,51;2,21;0,000;1,69%;0,000;0,00;0,00;0,00;0,00;0,00;0,00%;0,00%;0,00;0,00%;19,25%;241.769.000,00;39.299.500.000,00;0,00;65,69%;
734;CIEL3;3,90;11,60;1,04;2,055;4,17%;0,106;2,56;12,25;-7,04;8,82;5,58;16,78%;17,72%;1,05;8,64%;8,98%;92.587.200,00;10.170.400.000,00;0,38;-21,50%;
735;TEMP3;4,15;11,64;4,92;0,980;0,00%;2,014;9,98;10,60;19,39;9,55;7,74;9,25%;8,42%;1,41;34,49%;42,27%;0,00;135.736.000,00;0,23;-13,11%;
736;MRSA6B;25,06;11,76;1,72;1,868;2,05%;0,661;40,80;7,04;-1,46;9,33;4,90;26,53%;15,88%;1,11;10,69%;14,64%;794,05;4.947.960.000,00;0,81;5,80%;
737;MRSA5B;25,06;11,76;1,72;1,868;2,05%;0,661;40,80;7,04;-1,46;9,33;4,90;26,53%;15,88%;1,11;10,69%;14,64%;643,12;4.947.960.000,00;0,81;5,80%;
738;MRSA6B;25,06;11,76;1,72;1,868;2,05%;0,661;40,80;7,04;-1,46;9,33;4,90;26,53%;15,88%;1,11;10,69%;14,64%;794,05;4.947.960.000,00;0,81;5,80%;
739;MRSA5B;25,06;11,76;1,72;1,868;2,05%;0,661;40,80;7,04;-1,46;9,33;4,90;26,53%;15,88%;1,11;10,69%;14,64%;643,12;4.947.960.000,00;0,81;5,80%;
740;MILS3;6,50;11,77;1,42;1,954;4,77%;0,898;2,48;7,67;8,64;7,45;4,36;25,48%;16,58%;4,40;17,26%;12,04%;7.182.340,00;1.129.700.000,00;0,43;29,32%;
741;NAFG3;64,37;11,80;2,76;1,102;0,00%;1,153;3,20;7,35;60,48;8,64;6,57;14,99%;9,28%;2,52;19,92%;23,42%;0,00;316.392.000,00;0,81;9,49%;
742;NAFG4;64,42;11,81;2,76;1,103;0,00%;1,154;3,20;7,36;60,52;8,65;6,57;14,99%;9,28%;2,52;19,92%;23,42%;0,00;316.392.000,00;0,81;9,49%;
743;VITT3;9,23;11,92;2,66;1,618;2,47%;1,501;4,49;8,52;5,55;10,08;9,39;18,99%;13,56%;1,91;18,46%;22,36%;2.475.290,00;495.549.000,00;0,52;40,77%;
744;PARD3;20,76;11,96;2,95;1,326;1,99%;1,144;36,47;6,78;-4,24;6,99;5,32;19,56%;11,11%;1,10;21,16%;24,66%;7.177.230,00;921.634.000,00;0,36;15,70%;
745;EQPA7;6,62;12,02;3,98;1,730;6,65%;1,212;7,73;6,86;-3,84;8,02;6,80;25,21%;14,39%;1,71;22,30%;33,08%;0,00;3.676.940.000,00;1,14;10,57%;
746;FIBR3;66,30;12,03;2,59;2,010;7,59%;0,899;9,59;5,13;-2,54;7,17;5,29;39,18%;16,75%;1,46;22,95%;21,57%;0,00;14.149.000.000,00;1,46;22,71%;
747;EBCO3;1,05;12,03;0,84;0,346;0,00%;0,368;52,72;8,94;-15,02;8,68;8,68;3,88%;2,90%;1,01;5,04%;7,00%;0,00;828.097.000,00;0,02;6,09%;
748;RECV3;24,56;12,15;3,45;4,796;0,56%;1,424;-26,70;13,03;-4,04;12,86;8,75;36,81%;39,49%;0,81;13,06%;28,37%;44.393.900,00;2.085.380.000,00;0,28;0,00%;
749;EQPA5;6,70;12,17;4,03;1,750;6,57%;1,227;7,82;6,94;-3,88;8,10;6,87;25,21%;14,39%;1,71;22,30%;33,08%;389,91;3.676.940.000,00;1,14;10,57%;
750;MPLU3;26,80;12,20;17,37;6,877;0,00%;2,676;50,65;10,34;66,01;7,71;7,28;66,52%;56,37%;1,06;129,57%;142,40%;0,00;250.279.000,00;0,00;-18,88%;
751;JOPA4;35,09;12,21;0,68;0,180;2,59%;0,167;0,45;3,72;3,93;8,70;7,42;4,82%;1,83%;2,11;6,92%;5,54%;81,60;548.874.000,00;2,04;18,54%;
752;BBSE3;25,46;12,31;6,03;0,000;5,68%;4,200;0,00;9,93;0,00;0,00;0,00;0,00%;0,00%;0,00;0,00%;48,97%;115.677.000,00;8.445.020.000,00;0,00;0,00%;
753;LCAM3;24,15;12,35;2,42;1,840;6,08%;0,652;20,46;6,07;-1,26;10,16;7,82;30,30%;14,90%;1,18;13,82%;19,60%;111.333.000,00;5.076.600.000,00;2,06;46,01%;
754;AMPI3;55,00;12,41;2,74;0,247;0,00%;0,177;5,68;0,98;-0,68;1,99;1,73;25,18%;15,11%;1,12;21,22%;22,09%;0,00;240.799.000,00;4,48;14,12%;
755;VULC4;18,00;12,52;3,15;2,176;0,00%;2,146;5,36;15,82;6,42;16,35;12,84;13,75%;17,37%;2,59;15,93%;25,13%;0,00;1.405.300.000,00;0,26;10,02%;
756;VIVT4;45,34;12,56;1,08;1,707;0,00%;0,653;-1.537,85;15,02;-3,09;16,82;4,93;11,37%;13,56%;1,00;4,96%;8,64%;0,00;70.102.900.000,00;0,22;0,40%;
757;BMOB3;11,47;12,64;1,02;1,295;1,76%;0,741;1,82;11,74;2,04;5,81;3,90;11,03%;10,24%;2,77;11,75%;8,08%;7.106.390,00;1.021.170.000,00;0,00;310,03%;
758;TMGC7;800,01;12,68;1,63;1,164;0,00%;1,120;6,77;17,85;11,96;16,52;16,52;6,52%;9,18%;1,69;8,73%;12,83%;0,00;1.167.010.000,00;0,05;10,49%;
759;ESTC11;23,50;12,68;0,74;0,538;0,00%;0,241;1,85;4,15;-0,62;10,70;4,86;12,97%;4,24%;1,84;7,21%;5,82%;0,00;3.279.590.000,00;1,69;6,29%;
760;ODPV3;9,71;12,75;4,54;2,994;2,88%;2,743;-207,87;8,57;-27,58;8,05;7,41;34,94%;23,50%;0,96;39,00%;35,65%;11.327.000,00;1.214.980.000,00;0,00;5,36%;
761;ASAI3;15,13;12,87;6,83;0,464;1,14%;0,627;22,77;6,11;-1,18;8,09;6,60;7,60%;3,61%;1,08;15,67%;53,08%;122.670.000,00;2.984.000.000,00;3,69;34,82%;
762;BSLI3;20,00;12,94;3,02;0,000;6,24%;0,000;0,00;0,00;0,00;0,00;0,00;0,00%;0,00%;0,00;0,00%;23,35%;2.366,42;2.403.030.000,00;0,00;-1,44%;
763;AESB3;10,82;12,94;1,63;2,023;0,45%;0,420;2,85;16,43;-1,00;29,49;11,33;12,32%;18,83%;2,91;3,17%;12,60%;15.560.700,00;3.263.940.000,00;1,98;0,00%;
764;AVIL3;0,93;12,97;4,16;2,338;0,00%;2,227;3,89;10,00;9,02;9,40;9,40;23,38%;18,01%;5,14;40,99%;32,03%;0,00;1.106.590.000,00;0,52;1,74%;
765;DXTG4;3,68;13,02;1,32;0,675;0,00%;0,689;2,44;6,26;7,48;6,33;6,33;10,78%;6,60%;2,77;12,31%;10,10%;0,00;768.999.000,00;0,04;8,30%;
766;CPLE5;23,00;13,03;2,80;2,560;5,09%;1,251;17,28;16,24;-4,05;18,26;14,10;15,76%;20,02%;1,44;8,76%;21,47%;1.589,95;22.501.400.000,00;0,53;14,39%;
767;SFSA4;4,40;13,10;0,82;0,000;0,00%;0,000;0,00;0,00;0,00;0,00;0,00;0,00%;0,00%;0,00;0,00%;6,25%;0,00;739.524.000,00;0,00;0,15%;
768;VIVT3;47,34;13,11;1,13;1,783;7,59%;0,681;-1.605,68;15,68;-3,22;17,48;5,13;11,37%;13,56%;1,00;4,96%;8,64%;90.720.200,00;70.102.900.000,00;0,22;0,40%;
769;MRSA3B;28,06;13,17;1,93;2,091;0,00%;0,740;45,69;7,88;-1,63;10,17;5,35;26,53%;15,88%;1,11;10,69%;14,64%;1.263,51;4.947.960.000,00;0,81;5,80%;
770;MRSA3B;28,06;13,17;1,93;2,091;0,00%;0,740;45,69;7,88;-1,63;10,17;5,35;26,53%;15,88%;1,11;10,69%;14,64%;1.263,51;4.947.960.000,00;0,81;5,80%;
771;GETI3;14,45;13,19;3,44;1,916;0,00%;1,314;-15,63;6,98;-3,19;8,20;6,76;27,43%;14,52%;0,71;22,70%;26,09%;0,00;1.601.130.000,00;0,86;13,39%;
772;GETI4;14,46;13,20;3,44;1,917;0,00%;1,315;-15,64;6,99;-3,20;8,20;6,76;27,43%;14,52%;0,71;22,70%;26,09%;0,00;1.601.130.000,00;0,86;13,39%;
773;ECOR3;5,71;13,25;1,86;0,831;0,00%;0,238;15,08;2,78;-0,33;8,52;5,80;29,87%;6,08%;1,12;9,92%;14,04%;32.282.400,00;2.136.220.000,00;4,82;10,44%;
774;RGEG3;3,00;13,42;1,60;0,770;0,00%;0,609;-98,28;6,23;-1,76;10,04;11,70;12,36%;5,74%;0,98;11,69%;11,90%;0,00;1.915.180.000,00;1,15;10,09%;
775;ARCE3;54,00;14,01;2,60;2,461;0,00%;1,726;11,33;8,89;102,03;9,07;9,07;27,70%;19,46%;1,97;22,04%;18,59%;0,00;13.495.400.000,00;0,17;48,47%;
776;MERC4;8,85;14,05;0,62;0,000;5,41%;0,000;0,00;0,00;0,00;0,00;0,00;0,00%;0,00%;0,00;0,00%;4,42%;673,44;256.540.000,00;0,00;-36,44%;
777;CRFB3;17,50;14,20;2,11;0,457;3,14%;0,629;6,21;9,17;-4,03;11,16;8,50;4,99%;3,50%;1,24;9,24%;14,86%;66.798.700,00;17.440.000.000,00;0,67;12,66%;
778;TMGC11;900,00;14,26;1,83;1,309;0,00%;1,260;7,62;20,08;13,46;18,75;18,75;6,52%;9,18%;1,69;8,73%;12,83%;0,00;1.167.010.000,00;0,05;10,49%;
779;TNCP4;182,60;14,42;2,49;3,091;0,00%;1,696;52,65;11,85;-22,30;11,88;8,72;26,08%;21,44%;1,15;16,48%;17,29%;0,00;13.081.500.000,00;0,09;97,79%;
780;TNCP3;184,85;14,59;2,52;3,129;0,00%;1,717;53,30;12,00;-22,58;12,03;8,83;26,08%;21,44%;1,15;16,48%;17,29%;0,00;13.081.500.000,00;0,09;97,79%;
781;FRAS3;9,70;14,63;2,46;0,990;2,39%;0,880;3,17;8,21;-7,65;10,24;7,57;12,05%;6,73%;2,13;13,46%;16,81%;3.181.630,00;1.065.070.000,00;0,90;30,13%;
782;KSSA3;5,33;14,66;1,40;0,916;0,00%;0,406;1,72;5,62;6,73;12,30;12,30;16,31%;8,42%;1,47;7,67%;9,58%;0,00;553.026.000,00;1,80;40,68%;
783;ENMT4;79,49;14,68;5,77;2,268;5,01%;1,520;24,69;8,98;-3,32;11,11;9,91;25,25%;15,45%;1,28;18,53%;39,33%;169.253,00;3.014.690.000,00;1,53;15,87%;
784;ENMT3;79,88;14,75;5,80;2,279;4,99%;1,527;24,81;9,03;-3,33;11,16;9,95;25,25%;15,45%;1,28;18,53%;39,33%;221.159,00;3.014.690.000,00;1,53;15,87%;
785;ELUM4;47,90;14,79;1,99;1,251;0,00%;1,178;3,07;19,64;3,34;14,90;14,90;6,37%;8,46%;2,02;9,40%;13,47%;0,00;443.231.000,00;0,08;8,40%;
786;BMIN4;13,90;14,87;0,51;0,000;10,07%;0,000;0,00;0,00;0,00;0,00;0,00;0,00%;0,00%;0,00;0,00%;3,43%;1.577,98;131.334.000,00;0,00;4,07%;
787;TCOC3;38,85;14,90;1,80;2,225;0,00%;1,307;3,78;14,48;4,39;12,23;12,23;15,37%;14,93%;2,53;13,98%;12,06%;0,00;2.812.920.000,00;0,04;16,71%;
788;FIQE3;3,91;14,94;1,46;2,711;0,00%;0,874;2,96;9,82;11,81;7,42;4,16;27,62%;18,15%;2,65;15,72%;9,74%;2.787.180,00;972.414.000,00;0,30;0,00%;
789;RAIZ4;4,55;14,96;2,18;0,246;0,00%;0,469;7,10;8,25;-1,52;12,53;5,92;2,99%;1,70%;1,16;7,82%;14,55%;69.090.600,00;21.648.400.000,00;1,51;37,65%;
790;FLRY3;16,09;14,97;2,93;1,257;5,83%;0,853;12,37;7,69;-1,94;11,21;6,94;16,35%;8,45%;1,35;12,83%;19,60%;36.790.200,00;1.743.720.000,00;1,63;12,37%;
791;RDCD3;35,16;15,07;14,74;7,936;0,00%;0,925;21,14;13,40;22,70;14,25;14,26;59,23%;52,65%;1,05;6,97%;97,78%;0,00;1.605.520.000,00;1,04;12,16%;
792;PGMN3;4,90;15,13;1,03;0,281;0,00%;0,336;1,84;6,14;-2,16;7,82;4,25;4,58%;1,86%;1,54;7,48%;6,81%;5.453.260,00;2.111.930.000,00;0,51;6,97%;
793;AGXY3;7,86;15,15;0,96;0,158;0,00%;0,150;3,71;4,99;-8,48;8,81;6,42;3,15%;1,07%;1,05;7,82%;6,32%;620.978,00;1.401.550.000,00;1,14;140,34%;
794;B3SA3;11,36;15,19;3,18;6,809;6,24%;1,366;8,74;11,52;-7,58;10,67;9,06;59,09%;44,83%;1,67;18,78%;20,92%;418.203.000,00;21.807.200.000,00;0,62;27,59%;
795;ELET3;44,71;15,23;1,31;2,666;1,12%;0,544;5,97;22,48;-1,50;27,67;18,50;11,86%;17,68%;1,71;2,74%;8,57%;815.074.000,00;78.816.100.000,00;0,54;3,47%;
796;ALSO3;16,63;15,30;0,65;4,385;2,31%;0,379;2,62;8,67;-3,03;5,10;3,70;50,57%;33,47%;3,64;5,18%;4,23%;36.473.800,00;6.826.900.000,00;0,00;31,88%;
797;TMGC13;966,14;15,31;1,96;1,406;0,00%;1,353;8,18;21,56;14,45;20,23;20,23;6,52%;9,18%;1,69;8,73%;12,83%;0,00;1.167.010.000,00;0,05;10,49%;
798;BEMA3;10,80;15,32;1,22;1,293;0,00%;0,808;3,18;14,34;11,45;14,43;8,11;9,01%;8,44%;2,66;6,96%;7,95%;0,00;457.342.000,00;0,19;10,58%;
799;ELET6;45,30;15,44;1,32;2,701;2,32%;0,551;6,05;22,78;-1,52;27,97;18,70;11,86%;17,68%;1,71;2,74%;8,57%;224.290.000,00;78.816.100.000,00;0,54;3,47%;
800;BOAS3;5,65;15,51;1,44;3,785;1,40%;1,173;2,37;14,87;2,98;8,69;4,71;25,46%;24,40%;6,82;16,82%;9,30%;8.318.270,00;2.082.460.000,00;0,03;8,64%;
